,体験受入法人等,代表者,所在地,ホームページ,売上高,従業員数,経営主作目・事業内容,経営理念と将来の事業展開・ビジョン,有機農業に対する考えや取り組み,作物種別,体験可能作目,体験場所,体験担当者,受入可能時期と内容,1回の受入可能期間,高校生の受入,社会人の週末等コースの受入,提供できる住居,食事提供の方法,採用計画,アクセス,自動車免許,服装など準備すべき物,登録にあたっての考え,参加者の目的で重視すること,メッセージ：どんなことを学べるか
104,（株）サイエンズ,竹之内　光昭,群馬県利根郡昭和村川額,http://scienz68tscsbs.hits.jp/,19000万円,10人,レタス、ホウレン草　野菜の生産・販売,全国的に農場の展開,特になし,レタス、ほうれん草　他,レタス、ほうれん草　他,,竹之内　光昭,通年可能；レタス・定植・収穫・ほうれん草袋詰め,2日日〜,可,可,その他　その他（近くの宿）,経営者等家族と一緒,有,上越線岩本駅,,農作業に適した服装、長靴、手袋,従業員の確保,就職先検討,思いやりのある方
105,（株）四季菜,澤浦　彰治,群馬県利根郡昭和村赤城原,http://www.akn.jp/index.php,"7,000万円",6人,有機ホウレン草、有機小松菜栽培,感動農業、人づくり、土づくり,有機JASを持っている,ホウレン草、小松菜,ホウレン草、小松菜,,小暮　昌弘,通年可能：播種、管理、収穫,2日日〜,可,可,社宅・寮等,自炊（食費補助）,有,JR上越線沼田駅,,,従業員の確保,農業体験、就職先検討,
106,竹内農園,竹内　功二,群馬県利根郡昭和村川額,,5.500万円,7人,レタス、キャベツ、ホウレン草等露地栽培,土づくり、人づくり（良質の土と良い仲間づくり）,緑肥を中心とした土作り,レタス、キャベツ,レタス、キャベツ,,,6～11月：レタス、キャベツ,2日〜,可,可,社宅・寮等,自炊（食費補助）,有,上越線　岩本駅,なくても可,長靴（26?と28?は貸与可能）、雨合羽,従業員の確保,就職先検討,農業が好きな方
107,（株）トマル,都丸　高志,群馬県前橋市総社町総社,http://www.tomaru.com/,14677万円,380人,種卵生産及び雛孵化、育雛・育成。鶏卵生産・販売他,「最高品質」のたまごをお届けすること,鶏糞の有機堆肥化,農場・孵卵場の見学、農場での飼育体験,農場・孵卵場の見学、農場での飼育体験,孵卵場、種鶏場,松村,通年可能：体験可能作目に記載の通り,3日日〜,可,可,その他　その他（近隣ビジネスホテル）,,有,JR新前橋駅西口,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,熱意と行動力のある方、積極的でチャレンジできる方
108,（有）日本農産,菅家　世誉,群馬県伊勢崎市八坂町,,"10,000万円",4人,米作、ブルーベリー、果樹,無農薬を継続して16年,全作目無農薬です,米作、ブルーベリー等,米作、ブルーベリー等,,菅家　世誉、菅家利一,通年可能：米作、果樹特にブルーベリー、あんず、梅,2日日〜,可,可,社宅・寮等,自炊（食費補助）,有,JR伊勢崎線・東武線新伊勢崎駅,,農作業に適した服装,その他　農業体験・理解者の増加、農業は国の基本であることの実践・自給率UP,農業体験,コツコツ努力する人
109,（有）農園星ノ環,星野　高章,群馬県利根郡昭和村糸井,http://hoshinowa.com,7500万円,15人,レタス、コマツナ、ホウレンソウ、トウモロコシ、イチゴなど季節による,”環”農から生まれる喜びの種を蒔きつづけ、その実を共有する,,レタス、コマツナ、ホウレンソウ、トウモロコシ、イチゴなど季節による,レタス、コマツナ、ホウレンソウ、トウモロコシ、イチゴなど季節による,,星野高章,通年可能,2日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,上越線・岩本駅、上越新幹線・上毛高原駅、関越道昭和IC～10分,,雨合羽、長靴（あれば）,従業員の確保,農業体験、就職先検討,どんな形であれ、これから農業とかかわりを持ちたいという人
110,（有）ノームランド高橋,高橋　宣明,群馬県利根郡昭和村糸井,,非公表,非公表,レタス、コマツナ、ホウレンソウ、ブロッコリー、ビーツ,,,レタス・リーフレタス・ブロッコリー,レタス・リーフレタス・ブロッコリー,,,通年可能,2日日〜,可,可,社宅・寮等,その他　自炊（食材提供・食費補助）、その他（弁当など）,有,,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,
111,（有）ファームクラブ,岩井　雅之,群馬県高崎市箕郷町上芝,,"8,000万円",20人,野菜苗、水稲苗、ブルーベリー、いちご、トマト、露地野菜、山羊飼育,地域社会と農業の協業により明日の農業の発展を考える,自社基準のミネラル野菜作り,野菜苗、イチゴ、ブルーベリー、水稲苗,野菜苗、イチゴ、ブルーベリー、水稲苗,高崎市中里町842　他,田中伸治,通年可能：イチゴ収穫、育成、野菜苗の種撒き～定植まで,27日日〜,不可,不可,,自炊（食費補助）,有,車、バス,必要,,体験生の確保,農業体験、就職先検討,食と農業に興味があり明るく前向きに仕事に取組める方
112,（有）宮城種豚センター,小堀　範夫,群馬県前橋市市之関町,http://www.m-s-c.jp/,"99,000万円",23人,養豚、オートキャンプ場,自然環境との調和,野菜栽培,養豚、野菜等,養豚、野菜等,,小堀　長久,通年可能：養豚、野菜,2日日〜,可,可,社宅・寮等 　社宅・寮等、アパート,自炊（食費補助）,有,バス、車,,,農業体験・理解者の増加,農業体験、就職先検討,誠実
113,（有）Ｙ＆Ｈ,滝沢　真理子,群馬県吾妻郡嬬恋村大字田代,,10000万円,10人,キャベツの栽培、出荷,,,キャベツ,キャベツ,,滝沢　義昌、雄二,5～10月：農作業、キャベツの栽培、出荷作業。7～9月は朝3：30起床。作業あり。,1週間〜,不可,可,社宅・寮等,その他　経営者等家族と一緒。その他（部屋へ持ち、自由に食事してもらう。食事は毎食提供します。）,有,JR万座鹿沢駅　新幹線JR上田駅,必要,長靴、雨合羽等貸与,その他　農業体験・理解者の増加。その他（外国人研修生とのチームワーク、考え方等見てほしい）,農業体験、就職先検討,外国人7名の研修生と偏見なく付き合える人
114,つま恋みのりファーム,佐藤　哲哉,群馬県吾妻郡妻恋村大笹,,"9,000万円",8人,キャベツ・花豆の栽培及び出荷,先人の努力に感謝し、キャベツを通して社会貢献,特になし,キャベツ、花豆,キャベツ、花豆,,佐藤　哲哉,4～10月：キャベツの播種・定植・出荷等作業、農繁期：7～10月,5日日〜,可,可,社宅・寮等,自炊（食費補助）,有,JR万座鹿沢口駅より送迎あり,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,学ぶ教わる姿勢・態度
115,がってん野菜（同）適格農業生産法人,角田　勉,群馬県前橋市大友町,,"1,400万円",4人,露地野菜・多品目、直売店有,,群馬県認定エコファーマー,野菜（多品目）,野菜（多品目）,群馬県前橋市総社町総社2865,角田（つのだ）啓明,通年可能：野菜の栽培・調整・販売,2週間〜,不可,可,,その他　なし,有,群馬総社駅（徒歩約20分）,必要,,農業体験・理解者の増加,農業体験、就職先検討,積極性
116,（株）あぐりスタジアム,舛田　博文,埼玉県北葛飾郡松伏町大川戸,http://agristadium.com/,"3,000万円",7人,施設野菜（イチゴ、トマト）、露地野菜（ブロッコリー等）　生産販売,地域の担い手、人材育成、部門独立支援,IPM農法をもとに合理化を図る,季節の野菜全般,季節の野菜全般,,花井　宏行,通年可能：季節の野菜の収穫・調整、一般管理,2日日〜,,,,その他　その他（外食及び出前）,有,東武スカイツリーラインせんげん台駅,必要,,従業員の確保,農業体験、就職先検討,農業に対してまじめに取り組める方
117,（農）安行グリーン,小林　進,埼玉県川口市安行,http://angyogreen.jp/,"36,000万円",10人,果樹、花木の苗木（ブルーベリー等）生産販売,農業の工業化,ピーナッツの皮利用等取り組んでいる,果樹、花木の苗木生産,果樹、花木の苗木生産,茨城県茎崎農場,小林　俊男、小林　進,通年可能：果樹花木の苗木生産管理作業,2日日〜,不可,,,その他　提供なし,有,JR牛久駅からバスで30分,,,農業体験・理解者の増加,農業体験、就職先検討,忍耐力
118,イオンアグリ創造（株）埼玉松伏農場,福永　庸明,埼玉県北葛飾郡松伏町築比地,http://www.aeon.jp/agricreate/,非公表,約550人,小松菜・水菜・青梗菜・スイートコーン・ブロッコリー<BR>,安全・安心、お手頃価格、新鮮な野菜をイオンに安定供給することでお客さま満足の向上を目指しています。今後もイオン直営農場を全国に展開していきます。,特になし,経営作目と同じ,経営作目と同じ,,濱本,5月上旬～6月上旬（5時～14時の間）、10月下旬～12月末（6時～15時の間）,5日〜,不可,不可,,その他　1日1000円の食費補助,有,アーバンパークライン南桜井駅,必要,長靴、カッパなどの雨具、帽子、タオル、水筒など,農業体験・理解者の増加,農業体験,大規模農業に関心がある方、チームで仕事ができる方
119,イオンアグリ創造（株）埼玉久喜農場,福永　庸明,埼玉県久喜市六万部,http://www.aeon.jp/agricreate/,非公表,約550人,トマト,安全・安心、お手頃価格、新鮮な野菜をイオンに安定供給することでお客さま満足の向上を目指しています。今後もイオン直営農場を全国に展開していきます。,特になし,トマト,トマト,,宮崎　直行,5～9月,5日日〜,不可,可,通いのみ受け入れ、ホテル・ウイークリーマンション(長期時),その他　1日1000円の食費補助,無,JR久喜駅よりバス（久喜駅西～北中曽根）,必要,長靴、雨合羽等の雨具、帽子、タオル、水筒,従業員の確保,就職先検討,大規模農業に関心がある方、チームで仕事ができる方
120,イオンアグリ創造（株）埼玉羽生農場,福永　庸明,埼玉県羽生市名,http://www.aeon.jp/agricreate/,非公表,約550人,水稲、タマネギ、ハクサイ、コマツナ、スイートコーン、ブロッコリーなど,安全・安心、お手頃価格、新鮮な野菜をイオンに安定供給することでお客さま満足の向上を目指しています。今後もイオン直営農場を全国に展開していきます。,特になし,経営作物全般、季節により,経営作物全般、季節により,,櫻井　洋,5～6月、9月、11月,5日日〜,不可,不可,,その他　1日1000円の食費補助,無,東武伊勢崎線羽生駅,必要,長靴、雨合羽等の雨具、帽子、タオル、水筒,農業体験・理解者の増加,農業体験,大規模農業に関心がある方、チームで仕事ができる方
